date_key,reading_date,year,month,location_id,locality,timezone,pollutant,unit,reading_count,avg_value,min_value,max_value
20241030,2024-10-30,2024,10,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,9.5958,4.3,20.9
20241007,2024-10-07,2024,10,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,7.9652,5.1,17.6
20240302,2024-03-02,2024,3,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,4.7435,1.8,8.6
20240313,2024-03-13,2024,3,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,10.3167,3.8,17.9
20240331,2024-03-31,2024,3,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.3042,2.7,13.3
20240330,2024-03-30,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.3917,2.8,7.2
20240321,2024-03-21,2024,3,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,20,2.07,1.2,2.8
20240420,2024-04-20,2024,4,971,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,7.0087,2.4,12.4
20240414,2024-04-14,2024,4,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,4.2,0.9,15.5
20240412,2024-04-12,2024,4,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,20,5.18,0.2,23.9
20240424,2024-04-24,2024,4,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,7.2773,3.9,13.4
20240611,2024-06-11,2024,6,2153518,,America/New_York,pm25,µg/m³,24,5.8942,2.8,11.5
20241125,2024-11-25,2024,11,3041962,,America/New_York,pm25,µg/m³,24,4.4713,3.0,7.48
20241128,2024-11-28,2024,11,3145073,,America/New_York,pm25,µg/m³,24,10.9383,3.24,15.0
20240310,2024-03-10,2024,3,2453305,,America/New_York,pm25,µg/m³,21,2.5466,0.0226,9.58
20240407,2024-04-07,2024,4,2453313,,America/New_York,pm25,µg/m³,23,1.5253,0.644,2.68
20240407,2024-04-07,2024,4,2153518,,America/New_York,pm25,µg/m³,23,1.5607,0.633,3.92
20241019,2024-10-19,2024,10,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,6.5696,2.4,17.0
20240317,2024-03-17,2024,3,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.6417,2.5,12.1
20240302,2024-03-02,2024,3,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,18,6.0611,4.9,7.8
20240422,2024-04-22,2024,4,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,5.4,4.2,7.3
20240404,2024-04-04,2024,4,496096,RICHMOND,America/New_York,pm25,µg/m³,18,2.3389,0.4,5.2
20241118,2024-11-18,2024,11,1824516,,America/New_York,pm25,µg/m³,24,16.6712,7.79,66.1
20241127,2024-11-27,2024,11,2903996,,America/New_York,pm25,µg/m³,24,10.1575,3.71,16.7
20241111,2024-11-11,2024,11,3145072,,America/New_York,pm25,µg/m³,24,7.3129,4.07,12.8
20241130,2024-11-30,2024,11,3181018,,America/New_York,pm25,µg/m³,24,7.0267,5.23,9.28
20241026,2024-10-26,2024,10,3145069,,America/New_York,pm25,µg/m³,24,7.9867,4.55,15.6
20240306,2024-03-06,2024,3,2153518,,America/New_York,pm25,µg/m³,20,28.79,7.0,43.4
20240416,2024-04-16,2024,4,2386747,,America/New_York,pm25,µg/m³,17,1.8879,0.98,3.45
20240627,2024-06-27,2024,6,648,KINGS,America/New_York,pm25,µg/m³,24,5.8417,4.4,16.2
20241102,2024-11-02,2024,11,496096,RICHMOND,America/New_York,pm25,µg/m³,24,3.2125,0.1,10.6
20241114,2024-11-14,2024,11,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.3167,3.3,5.5
20241118,2024-11-18,2024,11,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.6875,6.4,9.2
20241119,2024-11-19,2024,11,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.9042,5.3,15.0
20241015,2024-10-15,2024,10,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,2.7375,2.3,3.3
20241012,2024-10-12,2024,10,387315,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,20,3.105,0.4,6.1
20240329,2024-03-29,2024,3,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,4.4273,0.4,11.1
20240303,2024-03-03,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.4708,1.9,16.2
20240305,2024-03-05,2024,3,387315,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,21,3.0143,0.0,7.1
20240412,2024-04-12,2024,4,648,KINGS,America/New_York,pm25,µg/m³,24,7.3375,1.4,20.7
20240626,2024-06-26,2024,6,1824516,,America/New_York,pm25,µg/m³,24,21.65,15.6,29.4
20241126,2024-11-26,2024,11,2153518,,America/New_York,pm25,µg/m³,24,12.1554,1.25,27.3
20241126,2024-11-26,2024,11,2903996,,America/New_York,pm25,µg/m³,24,17.0721,5.13,34.0
20241103,2024-11-03,2024,11,3145070,,America/New_York,pm25,µg/m³,23,4.7996,4.17,6.52
20241110,2024-11-10,2024,11,3145070,,America/New_York,pm25,µg/m³,24,10.6338,5.25,49.3
20241001,2024-10-01,2024,10,1824516,,America/New_York,pm25,µg/m³,24,4.6742,1.15,11.1
20241007,2024-10-07,2024,10,2386747,,America/New_York,pm25,µg/m³,24,4.6442,2.05,13.0
20241031,2024-10-31,2024,10,3145068,,America/New_York,pm25,µg/m³,24,17.825,10.2,23.2
20241018,2024-10-18,2024,10,3145070,,America/New_York,pm25,µg/m³,24,6.0229,4.61,9.21
20240305,2024-03-05,2024,3,1824516,,America/New_York,pm25,µg/m³,20,3.5442,0.0694,13.0
20240426,2024-04-26,2024,4,2616564,,America/New_York,pm25,µg/m³,24,7.4321,3.28,12.6
20240420,2024-04-20,2024,4,2386747,,America/New_York,pm25,µg/m³,12,7.805,1.7,17.7
20240620,2024-06-20,2024,6,648,KINGS,America/New_York,pm25,µg/m³,24,7.0292,4.2,10.5
20240612,2024-06-12,2024,6,387315,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,4.5682,0.8,9.3
20241122,2024-11-22,2024,11,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,3.5261,1.2,5.9
20241108,2024-11-08,2024,11,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.8917,2.9,41.4
20240311,2024-03-11,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,2.2217,1.4,3.0
20240404,2024-04-04,2024,4,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,12,3.9833,0.6,12.3
20240410,2024-04-10,2024,4,387315,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,9.5583,3.2,18.5
20240609,2024-06-09,2024,6,1824516,,America/New_York,pm25,µg/m³,24,9.1687,1.35,39.0
20241110,2024-11-10,2024,11,1824516,,America/New_York,pm25,µg/m³,24,14.375,2.17,62.6
20241106,2024-11-06,2024,11,2453305,,America/New_York,pm25,µg/m³,24,1670.0,1670.0,1670.0
20241128,2024-11-28,2024,11,3041962,,America/New_York,pm25,µg/m³,24,7.9401,0.467,12.2
20241104,2024-11-04,2024,11,3145070,,America/New_York,pm25,µg/m³,24,6.8458,4.6,10.3
20241029,2024-10-29,2024,10,3145070,,America/New_York,pm25,µg/m³,24,6.3204,4.6,8.31
20240327,2024-03-27,2024,3,2453313,,America/New_York,pm25,µg/m³,16,21.1956,5.39,46.1
20240626,2024-06-26,2024,6,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,11.8083,9.9,13.3
20240609,2024-06-09,2024,6,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.1125,1.6,6.7
20240615,2024-06-15,2024,6,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.9292,6.3,10.4
20241130,2024-11-30,2024,11,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.2792,4.4,6.4
20241002,2024-10-02,2024,10,648,KINGS,America/New_York,pm25,µg/m³,24,6.2583,5.1,7.5
20241005,2024-10-05,2024,10,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,6.0833,4.0,9.1
20240304,2024-03-04,2024,3,971,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,21,11.4952,6.5,19.4
20240330,2024-03-30,2024,3,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,3.9708,0.2,12.4
20240309,2024-03-09,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,6.7043,4.3,9.9
20240628,2024-06-28,2024,6,2386747,,America/New_York,pm25,µg/m³,24,1.8977,0.874,3.08
20240615,2024-06-15,2024,6,2616564,,America/New_York,pm25,µg/m³,18,8.8361,6.44,12.6
20240628,2024-06-28,2024,6,2616564,,America/New_York,pm25,µg/m³,24,3.1508,1.88,6.19
20240603,2024-06-03,2024,6,1775647,,America/New_York,pm25,µg/m³,22,18.7773,10.2,25.8
20241118,2024-11-18,2024,11,2903996,,America/New_York,pm25,µg/m³,24,12.1121,8.82,16.9
20241122,2024-11-22,2024,11,3145074,,America/New_York,pm25,µg/m³,24,3.965,2.17,6.84
20241012,2024-10-12,2024,10,1775647,,America/New_York,pm25,µg/m³,24,3.9242,1.56,6.32
20241022,2024-10-22,2024,10,2903996,,America/New_York,pm25,µg/m³,24,23.1208,14.9,42.8
20241020,2024-10-20,2024,10,3145073,,America/New_York,pm25,µg/m³,24,11.7708,7.11,16.4
20241028,2024-10-28,2024,10,3145073,,America/New_York,pm25,µg/m³,24,8.8596,4.74,22.9
20240414,2024-04-14,2024,4,2153518,,America/New_York,pm25,µg/m³,19,2.7958,1.54,5.39
20240611,2024-06-11,2024,6,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.3125,3.4,6.3
20240615,2024-06-15,2024,6,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,3.0045,0.1,7.9
20241107,2024-11-07,2024,11,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,6.6708,3.8,10.4
20241107,2024-11-07,2024,11,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,6.4696,2.6,14.4
20241103,2024-11-03,2024,11,387315,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,14,3.1,0.2,7.1
20241013,2024-10-13,2024,10,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,3.8083,2.5,7.8
20240314,2024-03-14,2024,3,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,19.2304,8.3,34.5
20240312,2024-03-12,2024,3,648,KINGS,America/New_York,pm25,µg/m³,24,3.5333,1.5,5.4
20240327,2024-03-27,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,17.925,6.6,34.6
20240402,2024-04-02,2024,4,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,12.0,6.1,21.7
20240405,2024-04-05,2024,4,387315,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,19,1.6842,0.1,3.2
20240430,2024-04-30,2024,4,496096,RICHMOND,America/New_York,pm25,µg/m³,24,9.1333,4.5,12.5
20240618,2024-06-18,2024,6,2453305,,America/New_York,pm25,µg/m³,24,9.6812,7.2,13.1
20241129,2024-11-29,2024,11,3145068,,America/New_York,pm25,µg/m³,23,7.8626,3.21,12.8
20241102,2024-11-02,2024,11,3145070,,America/New_York,pm25,µg/m³,24,4.8138,3.85,6.66
20240316,2024-03-16,2024,3,2386747,,America/New_York,pm25,µg/m³,20,2.979,1.3,4.94
20240402,2024-04-02,2024,4,2453305,,America/New_York,pm25,µg/m³,21,27.171,6.26,40.3
20240423,2024-04-23,2024,4,2453305,,America/New_York,pm25,µg/m³,20,8.9965,2.56,20.2
20240616,2024-06-16,2024,6,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.6042,0.6,8.5
20240610,2024-06-10,2024,6,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,3.9958,1.0,8.0
20240618,2024-06-18,2024,6,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,9.3458,4.5,15.1
20241113,2024-11-13,2024,11,648,KINGS,America/New_York,pm25,µg/m³,24,2.9542,1.4,5.5
20241025,2024-10-25,2024,10,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,21,3.6762,0.5,8.8
20241021,2024-10-21,2024,10,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,13.4417,8.2,23.1
20241007,2024-10-07,2024,10,496096,RICHMOND,America/New_York,pm25,µg/m³,24,4.3792,0.5,11.4
20240326,2024-03-26,2024,3,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,3.9125,1.7,6.6
20240423,2024-04-23,2024,4,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,6.7,4.3,10.5
20240407,2024-04-07,2024,4,631,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,2.6792,2.3,3.3
20240401,2024-04-01,2024,4,496096,RICHMOND,America/New_York,pm25,µg/m³,24,6.9042,4.0,10.1
20241004,2024-10-04,2024,10,1775647,,America/New_York,pm25,µg/m³,24,7.1879,4.45,11.4
20241016,2024-10-16,2024,10,2386747,,America/New_York,pm25,µg/m³,24,1.167,0.429,1.73
20241026,2024-10-26,2024,10,3145070,,America/New_York,pm25,µg/m³,24,7.9338,4.27,11.8
20240412,2024-04-12,2024,4,1775647,,America/New_York,pm25,µg/m³,20,10.8136,0.392,26.2
20240625,2024-06-25,2024,6,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,11.0667,9.5,13.3
20240612,2024-06-12,2024,6,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,6.5667,2.0,11.1
20241101,2024-11-01,2024,11,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,21,6.5238,1.4,10.9
20241113,2024-11-13,2024,11,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,18,2.8611,0.0,5.8
20241023,2024-10-23,2024,10,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,20,14.86,5.8,22.0
20240305,2024-03-05,2024,3,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,22,3.5091,0.6,6.5
20240301,2024-03-01,2024,3,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.1,3.0,8.4
20240411,2024-04-11,2024,4,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,10.8833,3.2,18.5
20240413,2024-04-13,2024,4,648,KINGS,America/New_York,pm25,µg/m³,24,1.7667,0.4,3.3
